business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,general_category
hSbwd-VP4THYYvSKQQr6Ow,George's Famous Roast Pork and Beef,1007 S 9th St,Philadelphia,PA,19147,39.9373453,-75.1581179,4.0,27,0,"{'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'quiet'"", 'HasTV': 'True', 'BikeParking': 'False', 'RestaurantsGoodForGroups': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'WiFi': ""'no'""}","Restaurants, Delis","{'Monday': '7:30-15:0', 'Tuesday': '7:30-15:0', 'Wednesday': '7:30-15:0', 'Thursday': '7:30-15:0', 'Friday': '7:30-15:0', 'Saturday': '7:30-15:0', 'Sunday': '7:30-15:0'}",Restaurants
e57HVMhbHJ37nQ363YAaYw,Roosevelt Pub,2220 Walnut St,Philadelphia,PA,19103,39.9509902358,-75.1783608264,3.0,37,0,"{'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'False', 'GoodForKids': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False', 'Alcohol': ""'full_bar'"", 'Caters': 'False', 'BYOBCorkage': ""'no'"", 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'no'"", 'NoiseLevel': ""u'quiet'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'HappyHour': 'True', 'HasTV': 'True', 'RestaurantsAttire': ""'casual'""}","Restaurants, Pubs, Nightlife, Bars",,Restaurants
DY2-gIyesL5S5_DZM2TqeQ,El Gallo Pinto Restaurant,1163 S 7th. St,Philadelphia,PA,19147,39.93395,-75.1557061,3.5,5,0,"{'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True'}","Restaurants, Latin American",,Restaurants
gjFUrbSMo1rA1jgG5IhA2A,Chima Steakhouse,1901 John F Kennedy Blvd,Philadelphia,PA,19103,39.9547768017,-75.1726724432,3.5,697,1,"{'OutdoorSeating': 'False', 'BikeParking': 'True', 'Caters': 'False', 'Alcohol': ""u'full_bar'"", 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': True}"", 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""'dressy'"", 'RestaurantsPriceRange2': '3', 'GoodForKids': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'WheelchairAccessible': 'True', 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'free'"", 'DogsAllowed': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsTableService': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': True, 'classy': True, 'casual': False}"", 'HappyHour': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True'}","Brazilian, Food, Desserts, Restaurants, Barbeque, Chinese, American (New), Dim Sum, Steakhouses","{'Monday': '17:30-21:0', 'Tuesday': '17:30-21:0', 'Wednesday': '17:30-21:0', 'Thursday': '17:30-21:0', 'Friday': '17:30-22:0', 'Saturday': '17:0-22:0', 'Sunday': '16:0-21:0'}",Restaurants
ciQrHorElL1_ekMewnsDXg,Evil Eye Café,628 S St,Philadelphia,PA,19147,39.9419294,-75.1531842,4.5,28,0,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'False', 'OutdoorSeating': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HasTV': 'False', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'WiFi': ""u'no'"", 'Caters': 'True', 'NoiseLevel': ""u'quiet'"", 'RestaurantsGoodForGroups': 'True'}","Bakeries, Turkish, Greek, Sandwiches, Ice Cream & Frozen Yogurt, Italian, Food, Coffee & Tea, Cafes, Event Planning & Services, Restaurants, Delis, Caterers","{'Monday': '10:30-20:0', 'Tuesday': '10:30-20:0', 'Wednesday': '10:30-20:0', 'Thursday': '10:30-20:0', 'Friday': '10:30-20:0', 'Saturday': '10:30-21:0', 'Sunday': '10:30-20:0'}",Restaurants
NXq1TC8CjIQ_2HWMSoN2Mg,Tweed,114 S 12th St,Philadelphia,PA,19107,39.9498766,-75.1603841,3.5,42,0,"{'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'Ambience': ""{'romantic': True, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': True, 'trendy': True, 'upscale': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '3', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'False', 'OutdoorSeating': 'False', 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'True', 'Alcohol': ""u'full_bar'"", 'BusinessParking': ""{'garage': True, 'street': True, 'validated': True, 'lot': False, 'valet': False}"", 'Caters': 'False', 'HappyHour': 'True', 'BusinessAcceptsCreditCards': 'True'}","American (New), Restaurants","{'Monday': '17:0-1:0', 'Tuesday': '17:0-1:0', 'Wednesday': '17:0-1:0', 'Thursday': '17:0-1:0', 'Friday': '17:0-1:0', 'Saturday': '17:0-1:0'}",Restaurants
NWF16GKQyZNVHo086gIVzQ,Kamals Middle Eastern Specialties,51 N 12th St,Philadelphia,PA,19102,39.9528558776,-75.1586364432,3.5,187,1,"{'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'loud'"", 'OutdoorSeating': 'False', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '1', 'WiFi': ""u'no'"", 'Caters': 'True', 'RestaurantsGoodForGroups': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'HasTV': 'False', 'RestaurantsDelivery': 'True'}","Middle Eastern, Food, Restaurants, Mediterranean, Juice Bars & Smoothies","{'Monday': '9:0-15:0', 'Tuesday': '9:0-15:0', 'Wednesday': '9:0-15:0', 'Thursday': '9:0-15:0', 'Friday': '9:0-15:0', 'Saturday': '9:0-15:0'}",Restaurants
1CCG0WYSoR8ejdgD5-Gaqg,Francoluigi's Pizzeria & Italian Restaurant,1549 S 13th St,Philadelphia,PA,19147,39.9302667,-75.1659499,4.0,303,1,"{'BYOBCorkage': ""'yes_corkage'"", 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'True', 'WiFi': ""u'no'"", 'HasTV': 'True', 'RestaurantsAttire': ""u'casual'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Corkage': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'Caters': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTableService': 'True', 'BikeParking': 'True', 'DogsAllowed': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Italian, Restaurants, Pizza","{'Wednesday': '15:0-22:0', 'Thursday': '15:0-22:0', 'Friday': '15:0-22:0', 'Saturday': '15:0-22:0', 'Sunday': '14:0-21:0'}",Restaurants
jmgEQ7co9p5aV7l1EPbvBQ,Fruit Salad Truck,17th & Arch St,Philadelphia,PA,19103,39.955008,-75.167989,5.0,8,0,"{'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'Alcohol': ""u'none'"", 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'False', 'GoodForKids': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'False', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Restaurants, Food Stands",,Restaurants
h6XRiG4QOnuY6n3SRnou1w,Cooperage Café,150 S Independence Mall W,Philadelphia,PA,19106,39.9491962348,-75.1515886104,3.5,6,0,"{'OutdoorSeating': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'quiet'"", 'Caters': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'no'"", 'BikeParking': 'False', 'RestaurantsGoodForGroups': 'False', 'GoodForKids': 'False', 'HasTV': 'True', 'RestaurantsPriceRange2': '1'}","Restaurants, Sandwiches, Food, Cafes",,Restaurants
