,business_id,name,categories,city,stars,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
0,-2-ih3mE8KPyeKVIzpBfPQ,SkyGarten,"American (Traditional), Bars, Restaurants, Nightlife, Beer Gardens",Philadelphia,3.5,0.17004291618640535,0.0,0.0,0.01406361979247577,0.1451677153045889,0.67072574871653
1,-T_lkOvaK39R-Ufg6VUyxg,Magpie,"Desserts, Food, Coffee & Tea, Restaurants",Philadelphia,4.5,0.49907977172641155,0.016985644278063212,0.18418033473136777,0.14543289085338038,0.09859212336076735,0.05572923505000974
2,-V0vIgo6196MDn_x3ZaYmA,La Creperie Cafe,"Restaurants, Cafes, Creperies",Philadelphia,3.5,0.22433525440587823,0.16413054406045627,0.03775037744238224,0.22731104290846904,0.27245030396548403,0.07402247721733017
3,-cEFKAznWmI0cledNOIQ7w,Gran Caffe L'Aquila,"Restaurants, Gelato, Coffee & Tea, Food, Italian, Bakeries",Philadelphia,4.5,0.40809190235756826,0.033833313595647244,0.011598826474942443,0.10252579237125466,0.33031996714703576,0.11363019805355157
4,-lVEVi3vtQ8_L9kKT0bBwQ,Le Chéri,"Restaurants, French",Philadelphia,4.0,0.532324784201873,0.006310283091520372,0.00426417673903142,0.02010360821379515,0.3522851832427612,0.08471196451101884
5,-mIlmp5l4hKlp1tvHRdvTg,Sonny's Famous Steaks,"Cheesesteaks, Comfort Food, Restaurants, Delis, Burgers, American (Traditional), Sandwiches, Local Flavor",Philadelphia,4.0,0.09112464122403681,0.6138453523869352,0.017745387324361983,0.11933432627914346,0.11608061793184195,0.04186967485368062
6,-nIXhxPvxST6bTuj9jo1UQ,DaMò Pasta Lab,"Italian, Pasta Shops, Restaurants, Food, Specialty Food",Philadelphia,4.5,0.5386348508890296,0.010159754760313135,0.056286678536200035,0.16025407288885257,0.2218248551846047,0.01283978774099992
7,03cvVjbkCOtiIt51M-MLFg,Prime Halal Meat,"Restaurants, Specialty Food, Meat Shops, Food, Halal, Grocery",Philadelphia,4.5,0.21492916965245978,0.4902925381562854,0.012645705949071395,0.10004402667808317,0.18208855956410036,0.0
8,0SWqECZ39P2MlmeXbKnUjg,Asia On the Parkway,"Singaporean, Restaurants, Asian Fusion, Thai",Philadelphia,3.0,0.3288855556351654,0.0022513155528857626,0.009682262435539064,0.13055166459348896,0.3176030632545106,0.21102613852841018
9,0ak-7uV9Nb7nF_l-mMCysA,Oishii Poké,"Restaurants, Mexican, Food, Hawaiian, Poke, Japanese",Philadelphia,4.0,0.5168591210660102,0.002420519276562501,0.06778290574807493,0.2276089654151337,0.1548959787125798,0.03043250978163892
10,0bvtIbpsqBJZpRKSPwIfNw,Panorama,"Hotels & Travel, Bars, Food, Wine Bars, Beer, Wine & Spirits, Event Planning & Services, Nightlife, Hotels, Gluten-Free, Restaurants, Italian",Philadelphia,4.0,0.40057306337441695,0.0656523537800962,0.011274269332231319,0.05033885131717027,0.32030577127161597,0.15185569092446927
11,0p5Q__lOXxnp74afXHP5tg,Jasmine Rice - Old City,"Restaurants, Thai",Philadelphia,3.5,0.4536080227955364,0.0,0.016640005082735963,0.13742186892728386,0.3923301031944438,0.0
12,0pnIIgi4sm96CllW0DhXug,Il Pittore,"Restaurants, American (New), Diners, Italian",Philadelphia,4.0,0.5657363639423896,0.04558377191170049,0.005493496873386745,0.0758538835295389,0.15727790153758858,0.15005458220539575
